article_code,material,form,thickness_mm,diameter_mm,outer_diameter_mm,inner_diameter_mm,width_mm,length_mm,color,variant,group,unit,item_type,is_remnant,article_name,saw_label
400096,ABS,leht,2,,,,1000,2000,,,ABS,M2,1,Ei,ABS leht 02x1000x2000 mm,ABS leht 2x1000x2000 (400096)
ABS2,ABS,leht,2,,,,1000,2000,valge,,ABS,M2,1,Ei,ABS leht 2mm 1000x2000mm valge,ABS leht 2x1000x2000 valge (ABS2)
400277,ABS,leht,3,,,,1000,2000,valge,,ABS,M2,1,Ei,ABS leht 03x1000x2000mm valge,ABS leht 3x1000x2000 valge (400277)
10001684,ABS,leht,5,,,,1250,831,valge,,ABS,M2,1,Ei,ABS 05x1250x831mm valge,ABS leht 5x1250x831 valge (10001684)
400712,ABS,leht,5,,,,1000,2000,valge,,ABS,M2,1,Ei,ABS leht 05x1000x2000mm valge,ABS leht 5x1000x2000 valge (400712)
400725,ABS,leht,5,,,,1250,831,valge,,ABS,M2,1,Ei,ABS leht 05x1250x831mm valge 42tk,ABS leht 5x1250x831 valge (400725)
10012941,ABS,leht,25,,,,610,1220,natural,,ABS,M2,1,Ei,ABS 25x610x1220mm natural,ABS leht 25x610x1220 natural (10012941)
ABS5,ABS,leht,1250,,,,,2500,valge,,ABS,M2,1,Ei,ABS leht 5mmx1250x2500mm valge,ABS leht 1250x2500 valge (ABS5)
ABS5/3,ABS,leht,1250,,,,,831,valge,,ABS,M2,1,Ei,ABS leht 5mmx1250x831mm valge,ABS leht 1250x831 valge (ABS5/3)
400721,ABS,muu,5,,,,763,481,valge,,ABS,TK,1,Ei,ABS leht 05x763x481mm valge,ABS muu 481 valge (400721)
ABS5/1,ABS,muu,297,,,,,420,valge,,ABS,TK,1,Ei,ABS leht 5mmx297x420mm valge,ABS muu 420 valge (ABS5/1)
ABS5/2,ABS,muu,763,,,,,481,valge,,ABS,TK,1,Ei,ABS leht 5mmx763x481mm valge,ABS muu 481 valge (ABS5/2)
10004136,ABS,ümar,,10,,,,1000,natural,,ABS,M,1,Ei,ABS ümar 10x1000mm natural,ABS ümar D10xL1000 natural (10004136)
GE8082131002,PA,leht,2,,,,1000,2000,natural,,PA,M2,1,Ei,PA6E leht 02x1000x2000mm natural,PA leht 2x1000x2000 natural (GE8082131002)
GE8082131003,PA,leht,3,,,,1000,2000,natural,,PA,M2,1,Ei,PA6E leht 03x1000x2000mm natural,PA leht 3x1000x2000 natural (GE8082131003)
